Actual,Predicted,Mean Absolute Error
92.0,91.75,0.25
74.0,74.0,0.0
40.0,39.75,0.25
45.0,45.05,-0.04999999999999716
50.0,49.93,0.07000000000000028
54.0,53.57,0.4299999999999997
84.0,84.0,0.0
57.0,57.02,-0.020000000000003126
49.0,48.7,0.29999999999999716
27.0,27.41,-0.41000000000000014
77.0,77.0,0.0
66.0,65.96,0.04000000000000625
63.0,63.4,-0.3999999999999986
96.0,95.69,0.3100000000000023
69.0,69.0,0.0
62.0,62.0,0.0
57.0,57.0,0.0
70.0,70.0,0.0
24.0,24.74,-0.7399999999999984
56.0,56.02,-0.020000000000003126
54.0,54.92,-0.9200000000000017
51.0,55.01,-4.009999999999998
63.0,63.0,0.0
54.0,54.18,-0.17999999999999972
94.0,93.94,0.060000000000002274
68.0,68.0,0.0
50.0,50.06,-0.060000000000002274
70.0,70.02,-0.01999999999999602
75.0,75.0,0.0
54.0,54.52,-0.5200000000000031
38.0,36.81,1.1899999999999977
69.0,69.06,-0.060000000000002274
70.0,70.0,0.0
83.0,83.0,0.0
62.0,62.03,-0.030000000000001137
56.0,55.99,0.00999999999999801
25.0,48.48,-23.479999999999997
43.0,44.53,-1.5300000000000011
27.0,26.92,0.0799999999999983
61.0,60.53,0.46999999999999886
41.0,40.79,0.21000000000000085
67.0,67.0,0.0
17.0,20.27,-3.2699999999999996
70.0,70.0,0.0
41.0,41.27,-0.2700000000000031
57.0,57.09,-0.09000000000000341
75.0,75.0,0.0
67.0,67.0,0.0
55.0,35.79,19.21
76.0,76.06,-0.060000000000002274
87.0,86.96,0.04000000000000625
64.0,53.6,10.399999999999999
45.0,45.12,-0.11999999999999744
38.0,37.86,0.14000000000000057
62.0,61.76,0.240000000000002
61.0,61.03,-0.030000000000001137
24.0,24.48,-0.4800000000000004
47.0,45.99,1.009999999999998
27.0,30.32,-3.3200000000000003
33.0,33.15,-0.14999999999999858
40.0,39.51,0.490000000000002
83.0,83.0,0.0
52.0,52.0,0.0
43.0,45.39,-2.3900000000000006
68.0,67.94,0.060000000000002274
87.0,87.07,-0.06999999999999318
69.0,68.93,0.06999999999999318
50.0,49.72,0.28000000000000114
66.0,65.96,0.04000000000000625
59.0,59.01,-0.00999999999999801
75.0,74.49,0.5100000000000051
91.0,91.26,-0.2600000000000051
49.0,49.52,-0.5200000000000031
75.0,75.07,-0.06999999999999318
89.0,89.02,-0.01999999999999602
75.0,74.93,0.06999999999999318
79.0,78.97,0.030000000000001137
59.0,58.91,0.09000000000000341
73.0,73.0,0.0
43.0,43.04,-0.03999999999999915
59.0,59.0,0.0
79.0,79.0,0.0
48.0,47.82,0.17999999999999972
63.0,63.46,-0.46000000000000085
49.0,48.79,0.21000000000000085
67.0,67.0,0.0
75.0,74.99,0.010000000000005116
84.0,84.05,-0.04999999999999716
16.0,32.75,-16.75
53.0,52.9,0.10000000000000142
58.0,56.58,1.4200000000000017
73.0,73.0,0.0
49.0,48.96,0.03999999999999915
62.0,62.0,0.0
82.0,82.0,0.0
54.0,54.14,-0.14000000000000057
84.0,84.06,-0.060000000000002274
65.0,64.93,0.06999999999999318
66.0,66.05,-0.04999999999999716
92.0,92.0,0.0
47.0,46.92,0.0799999999999983
46.0,47.6,-1.6000000000000014
67.0,67.02,-0.01999999999999602
41.0,40.51,0.490000000000002
53.0,53.47,-0.46999999999999886
37.0,36.65,0.3500000000000014
33.0,33.05,-0.04999999999999716
47.0,47.03,-0.030000000000001137
34.0,34.17,-0.1700000000000017
36.0,36.29,-0.28999999999999915
47.0,47.36,-0.35999999999999943
87.0,87.0,0.0
73.0,73.02,-0.01999999999999602
42.0,42.0,0.0
30.0,29.75,0.25
67.0,67.0,0.0
72.0,72.0,0.0
69.0,68.98,0.01999999999999602
46.0,45.47,0.5300000000000011
75.0,75.0,0.0
45.0,45.32,-0.3200000000000003
46.0,46.11,-0.10999999999999943
47.0,46.95,0.04999999999999716
28.0,27.87,0.129999999999999
81.0,81.0,0.0
55.0,55.03,-0.030000000000001137
56.0,55.44,0.5600000000000023
52.0,51.62,0.38000000000000256
64.0,63.53,0.46999999999999886
73.0,73.0,0.0
39.0,39.06,-0.060000000000002274
18.0,32.32,-14.32
48.0,47.95,0.04999999999999716
94.0,86.55,7.450000000000003
38.0,37.82,0.17999999999999972
73.0,73.0,0.0
54.0,53.98,0.020000000000003126
28.0,28.42,-0.4200000000000017
21.0,21.73,-0.7300000000000004
82.0,82.0,0.0
46.0,45.94,0.060000000000002274
32.0,32.04,-0.03999999999999915
52.0,51.26,0.740000000000002
63.0,62.94,0.060000000000002274
70.0,69.9,0.09999999999999432
76.0,75.72,0.28000000000000114
69.0,69.42,-0.4200000000000017
42.0,42.4,-0.3999999999999986
66.0,63.86,2.1400000000000006
74.0,74.0,0.0
53.0,52.98,0.020000000000003126
65.0,65.0,0.0
95.0,95.11,-0.10999999999999943
57.0,57.0,0.0
67.0,67.0,0.0
71.0,71.17,-0.1700000000000017
82.0,82.03,-0.030000000000001137
65.0,63.44,1.5600000000000023
51.0,50.94,0.060000000000002274
61.0,61.01,-0.00999999999999801
62.0,62.0,0.0
47.0,47.27,-0.2700000000000031
64.0,63.96,0.03999999999999915
82.0,80.51,1.4899999999999949
75.0,75.0,0.0
73.0,72.98,0.01999999999999602
58.0,58.33,-0.3299999999999983
62.0,61.99,0.00999999999999801
43.0,42.89,0.10999999999999943
74.0,73.98,0.01999999999999602
74.0,74.03,-0.030000000000001137
87.0,87.03,-0.030000000000001137
39.0,50.74,-11.740000000000002
65.0,65.17,-0.1700000000000017
47.0,46.89,0.10999999999999943
45.0,44.22,0.7800000000000011
64.0,64.02,-0.01999999999999602
24.0,23.03,0.9699999999999989
82.0,82.0,0.0
49.0,48.63,0.36999999999999744
88.0,88.0,0.0
24.0,23.4,0.6000000000000014
68.0,68.0,0.0
65.0,64.88,0.12000000000000455
27.0,27.22,-0.21999999999999886
32.0,32.3,-0.29999999999999716
38.0,38.07,-0.07000000000000028
41.0,44.83,-3.8299999999999983
45.0,44.14,0.8599999999999994
97.0,96.09,0.9099999999999966
66.0,66.0,0.0
71.0,71.5,-0.5
63.0,63.0,0.0
47.0,47.1,-0.10000000000000142
49.0,48.1,0.8999999999999986
41.0,40.85,0.14999999999999858
90.0,90.0,0.0
36.0,35.71,0.28999999999999915
54.0,53.82,0.17999999999999972
68.0,68.06,-0.060000000000002274
70.0,70.51,-0.5100000000000051
78.0,77.95,0.04999999999999716
63.0,63.0,0.0
72.0,72.0,0.0
48.0,47.91,0.09000000000000341
80.0,80.0,0.0
21.0,22.04,-1.0399999999999991
60.0,48.87,11.130000000000003
26.0,26.82,-0.8200000000000003
38.0,37.92,0.0799999999999983
35.0,37.02,-2.020000000000003
43.0,42.67,0.3299999999999983
82.0,82.31,-0.3100000000000023
83.0,54.22,28.78
73.0,72.11,0.8900000000000006
90.0,89.62,0.37999999999999545
36.0,42.9,-6.899999999999999
64.0,64.06,-0.060000000000002274
70.0,70.0,0.0
79.0,79.06,-0.060000000000002274
45.0,44.81,0.18999999999999773
53.0,52.58,0.4200000000000017
65.0,65.01,-0.010000000000005116
57.0,41.37,15.630000000000003
37.0,36.94,0.060000000000002274
65.0,65.0,0.0
75.0,75.0,0.0
87.0,87.0,0.0
66.0,66.0,0.0
60.0,60.0,0.0
52.0,52.04,-0.03999999999999915
77.0,77.02,-0.01999999999999602
61.0,61.0,0.0
71.0,71.0,0.0
83.0,82.92,0.0799999999999983
74.0,74.0,0.0
55.0,54.75,0.25
92.0,92.0,0.0
58.0,58.0,0.0
90.0,90.0,0.0
58.0,58.03,-0.030000000000001137
65.0,64.52,0.480000000000004
58.0,57.57,0.4299999999999997
80.0,80.0,0.0
36.0,36.01,-0.00999999999999801
67.0,66.68,0.3199999999999932
70.0,71.44,-1.4399999999999977
78.0,77.77,0.23000000000000398
81.0,80.96,0.04000000000000625
56.0,56.08,-0.0799999999999983
61.0,61.0,0.0
51.0,50.96,0.03999999999999915
78.0,78.01,-0.010000000000005116
57.0,49.81,7.189999999999998
92.0,89.46,2.5400000000000063
53.0,52.96,0.03999999999999915
61.0,60.98,0.020000000000003126
73.0,73.01,-0.010000000000005116
76.0,76.0,0.0
78.0,78.01,-0.010000000000005116
66.0,66.0,0.0
62.0,62.87,-0.8699999999999974
79.0,79.0,0.0
88.0,88.0,0.0
69.0,69.0,0.0
64.0,64.0,0.0
47.0,47.11,-0.10999999999999943
57.0,56.72,0.28000000000000114
62.0,61.83,0.1700000000000017
42.0,42.07,-0.07000000000000028
69.0,69.0,0.0
73.0,72.97,0.030000000000001137
62.0,61.76,0.240000000000002
65.0,65.0,0.0
37.0,37.06,-0.060000000000002274
56.0,55.97,0.030000000000001137
47.0,47.11,-0.10999999999999943
61.0,61.0,0.0
22.0,22.19,-0.19000000000000128
53.0,53.0,0.0
42.0,41.99,0.00999999999999801
36.0,35.81,0.18999999999999773
80.0,80.0,0.0
61.0,60.99,0.00999999999999801
71.0,70.92,0.0799999999999983
36.0,36.7,-0.7000000000000028
67.0,67.0,0.0
75.0,74.65,0.3499999999999943
80.0,80.0,0.0
50.0,50.06,-0.060000000000002274
64.0,64.0,0.0
67.0,67.24,-0.23999999999999488
28.0,27.8,0.1999999999999993
59.0,58.96,0.03999999999999915
88.0,88.0,0.0
80.0,80.0,0.0
86.0,86.0,0.0
41.0,40.99,0.00999999999999801
60.0,60.01,-0.00999999999999801
38.0,38.14,-0.14000000000000057
88.0,88.0,0.0
63.0,63.0,0.0
80.0,80.0,0.0
61.0,61.0,0.0
43.0,42.79,0.21000000000000085
63.0,63.01,-0.00999999999999801
61.0,61.05,-0.04999999999999716
27.0,26.95,0.05000000000000071
43.0,42.54,0.46000000000000085
72.0,71.84,0.1599999999999966
42.0,42.25,-0.25
43.0,43.05,-0.04999999999999716
61.0,61.0,0.0
78.0,78.0,0.0
86.0,84.71,1.2900000000000063
59.0,59.08,-0.0799999999999983
91.0,91.01,-0.010000000000005116
66.0,63.39,2.6099999999999994
52.0,52.27,-0.2700000000000031
23.0,44.0,-21.0
51.0,50.95,0.04999999999999716
41.0,40.88,0.11999999999999744
85.0,83.58,1.4200000000000017
22.0,22.47,-0.46999999999999886
77.0,76.78,0.21999999999999886
69.0,69.29,-0.29000000000000625
45.0,33.65,11.350000000000001
84.0,84.0,0.0
65.0,65.0,0.0
24.0,24.68,-0.6799999999999997
45.0,47.58,-2.5799999999999983
81.0,81.0,0.0
28.0,28.32,-0.3200000000000003
55.0,54.98,0.020000000000003126
55.0,54.97,0.030000000000001137
71.0,71.0,0.0
31.0,31.95,-0.9499999999999993
49.0,48.86,0.14000000000000057
79.0,79.0,0.0
45.0,45.12,-0.11999999999999744
37.0,36.81,0.18999999999999773
50.0,49.95,0.04999999999999716
40.0,41.2,-1.2000000000000028
68.0,68.0,0.0
38.0,38.14,-0.14000000000000057
36.0,35.91,0.09000000000000341
75.0,75.09,-0.09000000000000341
51.0,51.88,-0.8800000000000026
91.0,90.97,0.030000000000001137
72.0,72.01,-0.010000000000005116
22.0,22.46,-0.46000000000000085
62.0,62.0,0.0
61.0,61.0,0.0
83.0,79.4,3.5999999999999943
51.0,51.06,-0.060000000000002274
69.0,69.0,0.0
95.0,95.25,-0.25
33.0,64.17,-31.17
70.0,60.32,9.68
90.0,90.01,-0.010000000000005116
37.0,36.37,0.6300000000000026
58.0,58.0,0.0
58.0,58.0,0.0
58.0,57.95,0.04999999999999716
121.0,99.46,21.540000000000006
64.0,64.0,0.0
56.0,55.9,0.10000000000000142
77.0,77.0,0.0
57.0,57.63,-0.6300000000000026
76.0,76.06,-0.060000000000002274
20.0,25.7,-5.699999999999999
52.0,51.99,0.00999999999999801
51.0,51.48,-0.4799999999999969
81.0,62.7,18.299999999999997
51.0,50.85,0.14999999999999858
40.0,40.12,-0.11999999999999744
37.0,40.99,-3.990000000000002
66.0,66.0,0.0
40.0,39.95,0.04999999999999716
52.0,52.0,0.0
65.0,64.99,0.010000000000005116
72.0,72.0,0.0
56.0,56.0,0.0
40.0,40.11,-0.10999999999999943
82.0,82.0,0.0
74.0,74.11,-0.10999999999999943
30.0,30.03,-0.030000000000001137
62.0,62.2,-0.20000000000000284
51.0,49.46,1.5399999999999991
73.0,72.7,0.29999999999999716
39.0,38.84,0.1599999999999966
64.0,64.0,0.0
29.0,29.02,-0.019999999999999574
20.0,20.58,-0.5799999999999983
70.0,70.06,-0.060000000000002274
83.0,83.0,0.0
30.0,29.88,0.120000000000001
73.0,73.03,-0.030000000000001137
59.0,58.94,0.060000000000002274
82.0,82.0,0.0
77.0,77.0,0.0
77.0,77.0,0.0
54.0,54.01,-0.00999999999999801
67.0,67.0,0.0
56.0,56.25,-0.25
25.0,26.41,-1.4100000000000001
81.0,81.0,0.0
49.0,49.12,-0.11999999999999744
76.0,75.54,0.45999999999999375
56.0,55.96,0.03999999999999915
73.0,73.0,0.0
39.0,38.86,0.14000000000000057
64.0,64.11,-0.10999999999999943
67.0,67.0,0.0
68.0,68.08,-0.0799999999999983
44.0,44.04,-0.03999999999999915
66.0,65.5,0.5
52.0,52.09,-0.09000000000000341
39.0,39.17,-0.1700000000000017
63.0,63.0,0.0
36.0,35.29,0.7100000000000009
59.0,59.0,0.0
54.0,54.02,-0.020000000000003126
42.0,41.98,0.020000000000003126
61.0,60.98,0.020000000000003126
47.0,46.39,0.6099999999999994
68.0,68.07,-0.06999999999999318
78.0,78.0,0.0
73.0,72.98,0.01999999999999602
73.0,73.02,-0.01999999999999602
39.0,39.32,-0.3200000000000003
45.0,45.02,-0.020000000000003126
77.0,77.02,-0.01999999999999602
19.0,27.62,-8.620000000000001
33.0,34.59,-1.5900000000000034
57.0,56.41,0.5900000000000034
52.0,52.0,0.0
28.0,28.09,-0.08999999999999986
22.0,22.66,-0.6600000000000001
67.0,67.0,0.0
39.0,38.59,0.4099999999999966
80.0,80.0,0.0
84.0,84.12,-0.12000000000000455
25.0,25.13,-0.129999999999999
65.0,65.0,0.0
61.0,60.97,0.030000000000001137
56.0,56.0,0.0
48.0,48.23,-0.22999999999999687
39.0,38.94,0.060000000000002274
63.0,63.12,-0.11999999999999744
52.0,48.37,3.6300000000000026
30.0,29.36,0.6400000000000006
63.0,63.14,-0.14000000000000057
42.0,42.12,-0.11999999999999744
50.0,50.07,-0.07000000000000028
81.0,81.0,0.0
33.0,33.32,-0.3200000000000003
52.0,46.99,5.009999999999998
64.0,64.0,0.0
60.0,60.08,-0.0799999999999983
90.0,90.01,-0.010000000000005116
35.0,35.06,-0.060000000000002274
31.0,31.56,-0.5599999999999987
46.0,45.85,0.14999999999999858
86.0,86.01,-0.010000000000005116
60.0,60.05,-0.04999999999999716
64.0,63.98,0.020000000000003126
30.0,30.1,-0.10000000000000142
88.0,87.5,0.5
71.0,70.97,0.030000000000001137
47.0,47.02,-0.020000000000003126
35.0,35.04,-0.03999999999999915
26.0,25.74,0.26000000000000156
71.0,71.0,0.0
91.0,91.17,-0.1700000000000017
55.0,54.9,0.10000000000000142
64.0,57.67,6.329999999999998
75.0,75.0,0.0
34.0,34.58,-0.5799999999999983
36.0,35.63,0.36999999999999744
39.0,38.85,0.14999999999999858
68.0,59.51,8.490000000000002
43.0,43.13,-0.13000000000000256
53.0,52.89,0.10999999999999943
52.0,51.55,0.45000000000000284
46.0,45.61,0.39000000000000057
40.0,40.37,-0.36999999999999744
64.0,64.03,-0.030000000000001137
77.0,77.0,0.0
72.0,72.0,0.0
85.0,85.0,0.0
52.0,52.01,-0.00999999999999801
46.0,46.64,-0.6400000000000006
27.0,26.79,0.21000000000000085
84.0,84.03,-0.030000000000001137
64.0,64.55,-0.5499999999999972
34.0,33.9,0.10000000000000142
28.0,27.71,0.28999999999999915
67.0,67.0,0.0
33.0,32.7,0.29999999999999716
52.0,51.81,0.18999999999999773
55.0,54.12,0.8800000000000026
75.0,74.9,0.09999999999999432
36.0,36.14,-0.14000000000000057
36.0,35.79,0.21000000000000085
67.0,67.0,0.0
78.0,78.0,0.0
66.0,66.0,0.0
36.0,36.35,-0.3500000000000014
68.0,68.09,-0.09000000000000341
53.0,53.0,0.0
51.0,50.55,0.45000000000000284
77.0,76.99,0.010000000000005116
44.0,43.25,0.75
50.0,49.75,0.25
69.0,68.8,0.20000000000000284
66.0,66.1,-0.09999999999999432
41.0,41.06,-0.060000000000002274
79.0,79.0,0.0
65.0,65.0,0.0
49.0,49.07,-0.07000000000000028
58.0,57.98,0.020000000000003126
34.0,33.74,0.259999999999998
32.0,32.38,-0.38000000000000256
85.0,85.0,0.0
47.0,47.16,-0.1599999999999966
68.0,68.28,-0.28000000000000114
26.0,25.75,0.25
55.0,54.12,0.8800000000000026
58.0,57.35,0.6499999999999986
87.0,86.89,0.10999999999999943
42.0,41.39,0.6099999999999994
75.0,75.0,0.0
93.0,93.01,-0.010000000000005116
56.0,56.0,0.0
36.0,35.92,0.0799999999999983
41.0,41.55,-0.5499999999999972
42.0,41.93,0.07000000000000028
74.0,74.1,-0.09999999999999432
83.0,82.94,0.060000000000002274
54.0,52.87,1.1300000000000026
80.0,80.0,0.0
52.0,52.02,-0.020000000000003126
89.0,89.0,0.0
36.0,35.73,0.2700000000000031
28.0,28.08,-0.0799999999999983
39.0,38.94,0.060000000000002274
52.0,51.99,0.00999999999999801
58.0,58.0,0.0
53.0,53.0,0.0
76.0,75.93,0.06999999999999318
72.0,72.0,0.0
76.0,76.0,0.0
92.0,92.01,-0.010000000000005116
66.0,66.0,0.0
55.0,56.22,-1.2199999999999989
87.0,86.99,0.010000000000005116
54.0,53.78,0.21999999999999886
61.0,60.28,0.7199999999999989
44.0,43.89,0.10999999999999943
49.0,49.0,0.0
81.0,75.14,5.859999999999999
74.0,74.03,-0.030000000000001137
53.0,53.01,-0.00999999999999801
57.0,57.08,-0.0799999999999983
74.0,74.0,0.0
63.0,63.0,0.0
51.0,50.95,0.04999999999999716
63.0,63.0,0.0
46.0,45.96,0.03999999999999915
24.0,24.9,-0.8999999999999986
51.0,51.03,-0.030000000000001137
78.0,78.0,0.0
71.0,71.0,0.0
27.0,31.37,-4.370000000000001
59.0,59.0,0.0
76.0,76.0,0.0
26.0,29.39,-3.3900000000000006
24.0,24.46,-0.46000000000000085
37.0,37.14,-0.14000000000000057
63.0,62.98,0.020000000000003126
66.0,66.63,-0.6299999999999955
65.0,65.0,0.0
63.0,63.26,-0.259999999999998
59.0,59.54,-0.5399999999999991
55.0,55.0,0.0
44.0,43.92,0.0799999999999983
87.0,86.99,0.010000000000005116
65.0,65.0,0.0
46.0,46.15,-0.14999999999999858
60.0,60.0,0.0
32.0,31.74,0.26000000000000156
72.0,72.0,0.0
82.0,82.0,0.0
58.0,58.01,-0.00999999999999801
39.0,38.95,0.04999999999999716
79.0,79.0,0.0
35.0,41.33,-6.329999999999998
46.0,45.99,0.00999999999999801
45.0,43.8,1.2000000000000028
67.0,67.0,0.0
57.0,57.03,-0.030000000000001137
64.0,64.45,-0.45000000000000284
85.0,85.0,0.0
76.0,76.17,-0.1700000000000017
63.0,62.74,0.259999999999998
32.0,29.75,2.25
70.0,69.55,0.45000000000000284
57.0,56.57,0.4299999999999997
42.0,41.74,0.259999999999998
75.0,75.0,0.0
88.0,88.05,-0.04999999999999716
85.0,84.99,0.010000000000005116
65.0,65.0,0.0
42.0,42.14,-0.14000000000000057
52.0,52.49,-0.490000000000002
49.0,48.8,0.20000000000000284
52.0,51.83,0.1700000000000017
49.0,48.97,0.030000000000001137
22.0,28.11,-6.109999999999999
80.0,80.0,0.0
67.0,66.4,0.5999999999999943
45.0,45.22,-0.21999999999999886
66.0,66.0,0.0
82.0,82.0,0.0
34.0,34.88,-0.8800000000000026
58.0,57.89,0.10999999999999943
46.0,46.22,-0.21999999999999886
34.0,33.97,0.030000000000001137
83.0,82.99,0.010000000000005116
72.0,71.43,0.5699999999999932
26.0,25.33,0.6700000000000017
84.0,84.0,0.0
66.0,66.0,0.0
41.0,41.34,-0.3400000000000034
76.0,76.0,0.0
54.0,54.28,-0.28000000000000114
64.0,63.9,0.10000000000000142
94.0,94.07,-0.06999999999999318
34.0,34.64,-0.6400000000000006
46.0,46.16,-0.1599999999999966
73.0,72.97,0.030000000000001137
80.0,80.0,0.0
54.0,54.44,-0.4399999999999977
44.0,42.35,1.6499999999999986
59.0,59.08,-0.0799999999999983
78.0,78.0,0.0
76.0,76.0,0.0
77.0,77.0,0.0
43.0,42.99,0.00999999999999801
39.0,39.41,-0.4099999999999966
49.0,49.0,0.0
58.0,57.98,0.020000000000003126
31.0,31.05,-0.05000000000000071
84.0,56.58,27.42
39.0,38.76,0.240000000000002
60.0,60.0,0.0
45.0,45.4,-0.3999999999999986
39.0,39.14,-0.14000000000000057
